COU,Country,POL,Pollutant,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1990,1990,TONNE,Tonnes,3,Thousands,,,1287.327,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1991,1991,TONNE,Tonnes,3,Thousands,,,1377.854,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1992,1992,TONNE,Tonnes,3,Thousands,,,1227.218,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1993,1993,TONNE,Tonnes,3,Thousands,,,1067.205,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1994,1994,TONNE,Tonnes,3,Thousands,,,994.282,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1995,1995,TONNE,Tonnes,3,Thousands,,,937.931,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1996,1996,TONNE,Tonnes,3,Thousands,,,925.608,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1997,1997,TONNE,Tonnes,3,Thousands,,,783.944,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1998,1998,TONNE,Tonnes,3,Thousands,,,816.517,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,1999,1999,TONNE,Tonnes,3,Thousands,,,715.395,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2000,2000,TONNE,Tonnes,3,Thousands,,,616.813,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2001,2001,TONNE,Tonnes,3,Thousands,,,560.094,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2002,2002,TONNE,Tonnes,3,Thousands,,,519.343,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2003,2003,TONNE,Tonnes,3,Thousands,,,502.013,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2004,2004,TONNE,Tonnes,3,Thousands,,,482.247,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2005,2005,TONNE,Tonnes,3,Thousands,,,462.766,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2006,2006,TONNE,Tonnes,3,Thousands,,,429.105,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2007,2007,TONNE,Tonnes,3,Thousands,,,405.417,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2008,2008,TONNE,Tonnes,3,Thousands,,,346.923,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2009,2009,TONNE,Tonnes,3,Thousands,,,293.71,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2010,2010,TONNE,Tonnes,3,Thousands,,,269.629,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2011,2011,TONNE,Tonnes,3,Thousands,,,222.342,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2012,2012,TONNE,Tonnes,3,Thousands,,,220.198,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2013,2013,TONNE,Tonnes,3,Thousands,,,201.785,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2014,2014,TONNE,Tonnes,3,Thousands,,,158.637,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2015,2015,TONNE,Tonnes,3,Thousands,,,151.45,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2016,2016,TONNE,Tonnes,3,Thousands,,,136.457,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2017,2017,TONNE,Tonnes,3,Thousands,,,130.325,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2018,2018,TONNE,Tonnes,3,Thousands,,,122.55,,
FRA,France,SOX,Sulphur Oxides,TOT,Total man-made emissions,2019,2019,TONNE,Tonnes,3,Thousands,,,100.179,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1990,1990,TONNE,Tonnes,3,Thousands,,,173.238,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1991,1991,TONNE,Tonnes,3,Thousands,,,178.611,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1992,1992,TONNE,Tonnes,3,Thousands,,,185.216,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1993,1993,TONNE,Tonnes,3,Thousands,,,188.345,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1994,1994,TONNE,Tonnes,3,Thousands,,,177.965,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1995,1995,TONNE,Tonnes,3,Thousands,,,137.45,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1996,1996,TONNE,Tonnes,3,Thousands,,,120.945,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1997,1997,TONNE,Tonnes,3,Thousands,,,67.12,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1998,1998,TONNE,Tonnes,3,Thousands,,,68.753,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,1999,1999,TONNE,Tonnes,3,Thousands,,,58.11,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2000,2000,TONNE,Tonnes,3,Thousands,,,43.784,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2001,2001,TONNE,Tonnes,3,Thousands,,,45.512,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2002,2002,TONNE,Tonnes,3,Thousands,,,47.581,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2003,2003,TONNE,Tonnes,3,Thousands,,,47.77,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2004,2004,TONNE,Tonnes,3,Thousands,,,47.12,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2005,2005,TONNE,Tonnes,3,Thousands,,,25.189,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2006,2006,TONNE,Tonnes,3,Thousands,,,23.728,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2007,2007,TONNE,Tonnes,3,Thousands,,,22.295,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2008,2008,TONNE,Tonnes,3,Thousands,,,14.112,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2009,2009,TONNE,Tonnes,3,Thousands,,,10.421,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2010,2010,TONNE,Tonnes,3,Thousands,,,10.03,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2011,2011,TONNE,Tonnes,3,Thousands,,,8.479,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2012,2012,TONNE,Tonnes,3,Thousands,,,4.055,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2013,2013,TONNE,Tonnes,3,Thousands,,,4.009,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2014,2014,TONNE,Tonnes,3,Thousands,,,3.83,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2015,2015,TONNE,Tonnes,3,Thousands,,,3.802,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2016,2016,TONNE,Tonnes,3,Thousands,,,3.42,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2017,2017,TONNE,Tonnes,3,Thousands,,,3.514,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2018,2018,TONNE,Tonnes,3,Thousands,,,3.593,,
FRA,France,SOX,Sulphur Oxides,MOB_TOT,Total Mobile Sources,2019,2019,TONNE,Tonnes,3,Thousands,,,3.45,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1990,1990,TONNE,Tonnes,3,Thousands,,,142.963,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1991,1991,TONNE,Tonnes,3,Thousands,,,147.704,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1992,1992,TONNE,Tonnes,3,Thousands,,,154.845,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1993,1993,TONNE,Tonnes,3,Thousands,,,157.198,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1994,1994,TONNE,Tonnes,3,Thousands,,,150.593,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1995,1995,TONNE,Tonnes,3,Thousands,,,116.5,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1996,1996,TONNE,Tonnes,3,Thousands,,,100.289,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1997,1997,TONNE,Tonnes,3,Thousands,,,46.963,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1998,1998,TONNE,Tonnes,3,Thousands,,,46.571,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,1999,1999,TONNE,Tonnes,3,Thousands,,,36.502,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2000,2000,TONNE,Tonnes,3,Thousands,,,22.943,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2001,2001,TONNE,Tonnes,3,Thousands,,,23.741,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2002,2002,TONNE,Tonnes,3,Thousands,,,24.129,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2003,2003,TONNE,Tonnes,3,Thousands,,,24.391,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2004,2004,TONNE,Tonnes,3,Thousands,,,24.689,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2005,2005,TONNE,Tonnes,3,Thousands,,,4.187,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2006,2006,TONNE,Tonnes,3,Thousands,,,4.19,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2007,2007,TONNE,Tonnes,3,Thousands,,,4.231,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2008,2008,TONNE,Tonnes,3,Thousands,,,4.126,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2009,2009,TONNE,Tonnes,3,Thousands,,,0.852,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2010,2010,TONNE,Tonnes,3,Thousands,,,0.841,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2011,2011,TONNE,Tonnes,3,Thousands,,,0.84,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2012,2012,TONNE,Tonnes,3,Thousands,,,0.83,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2013,2013,TONNE,Tonnes,3,Thousands,,,0.824,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2014,2014,TONNE,Tonnes,3,Thousands,,,0.83,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2015,2015,TONNE,Tonnes,3,Thousands,,,0.837,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2016,2016,TONNE,Tonnes,3,Thousands,,,0.841,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2017,2017,TONNE,Tonnes,3,Thousands,,,0.846,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2018,2018,TONNE,Tonnes,3,Thousands,,,0.829,,
FRA,France,SOX,Sulphur Oxides,MOB_ROAD,Road Transport,2019,2019,TONNE,Tonnes,3,Thousands,,,0.828,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1990,1990,TONNE,Tonnes,3,Thousands,,,30.275,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1991,1991,TONNE,Tonnes,3,Thousands,,,30.908,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1992,1992,TONNE,Tonnes,3,Thousands,,,30.372,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1993,1993,TONNE,Tonnes,3,Thousands,,,31.147,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1994,1994,TONNE,Tonnes,3,Thousands,,,27.372,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1995,1995,TONNE,Tonnes,3,Thousands,,,20.95,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1996,1996,TONNE,Tonnes,3,Thousands,,,20.656,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1997,1997,TONNE,Tonnes,3,Thousands,,,20.158,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1998,1998,TONNE,Tonnes,3,Thousands,,,22.183,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,1999,1999,TONNE,Tonnes,3,Thousands,,,21.608,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2000,2000,TONNE,Tonnes,3,Thousands,,,20.841,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2001,2001,TONNE,Tonnes,3,Thousands,,,21.771,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2002,2002,TONNE,Tonnes,3,Thousands,,,23.452,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2003,2003,TONNE,Tonnes,3,Thousands,,,23.38,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2004,2004,TONNE,Tonnes,3,Thousands,,,22.432,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2005,2005,TONNE,Tonnes,3,Thousands,,,21.003,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2006,2006,TONNE,Tonnes,3,Thousands,,,19.539,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2007,2007,TONNE,Tonnes,3,Thousands,,,18.064,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2008,2008,TONNE,Tonnes,3,Thousands,,,9.986,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2009,2009,TONNE,Tonnes,3,Thousands,,,9.569,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2010,2010,TONNE,Tonnes,3,Thousands,,,9.189,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2011,2011,TONNE,Tonnes,3,Thousands,,,7.639,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2012,2012,TONNE,Tonnes,3,Thousands,,,3.225,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2013,2013,TONNE,Tonnes,3,Thousands,,,3.184,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2014,2014,TONNE,Tonnes,3,Thousands,,,2.999,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2015,2015,TONNE,Tonnes,3,Thousands,,,2.966,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2016,2016,TONNE,Tonnes,3,Thousands,,,2.578,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2017,2017,TONNE,Tonnes,3,Thousands,,,2.668,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2018,2018,TONNE,Tonnes,3,Thousands,,,2.764,,
FRA,France,SOX,Sulphur Oxides,MOB_OTHER,Other Mobile Sources,2019,2019,TONNE,Tonnes,3,Thousands,,,2.622,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1990,1990,TONNE,Tonnes,3,Thousands,,,1114.089,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1991,1991,TONNE,Tonnes,3,Thousands,,,1199.242,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1992,1992,TONNE,Tonnes,3,Thousands,,,1042.002,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1993,1993,TONNE,Tonnes,3,Thousands,,,878.86,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1994,1994,TONNE,Tonnes,3,Thousands,,,816.317,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1995,1995,TONNE,Tonnes,3,Thousands,,,800.481,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1996,1996,TONNE,Tonnes,3,Thousands,,,804.664,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1997,1997,TONNE,Tonnes,3,Thousands,,,716.824,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1998,1998,TONNE,Tonnes,3,Thousands,,,747.764,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,1999,1999,TONNE,Tonnes,3,Thousands,,,657.286,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2000,2000,TONNE,Tonnes,3,Thousands,,,573.028,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2001,2001,TONNE,Tonnes,3,Thousands,,,514.582,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2002,2002,TONNE,Tonnes,3,Thousands,,,471.763,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2003,2003,TONNE,Tonnes,3,Thousands,,,454.243,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2004,2004,TONNE,Tonnes,3,Thousands,,,435.126,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2005,2005,TONNE,Tonnes,3,Thousands,,,437.577,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2006,2006,TONNE,Tonnes,3,Thousands,,,405.376,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2007,2007,TONNE,Tonnes,3,Thousands,,,383.122,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2008,2008,TONNE,Tonnes,3,Thousands,,,332.811,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2009,2009,TONNE,Tonnes,3,Thousands,,,283.289,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2010,2010,TONNE,Tonnes,3,Thousands,,,259.599,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2011,2011,TONNE,Tonnes,3,Thousands,,,213.862,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2012,2012,TONNE,Tonnes,3,Thousands,,,216.143,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2013,2013,TONNE,Tonnes,3,Thousands,,,197.776,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2014,2014,TONNE,Tonnes,3,Thousands,,,154.807,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2015,2015,TONNE,Tonnes,3,Thousands,,,147.647,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2016,2016,TONNE,Tonnes,3,Thousands,,,133.037,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2017,2017,TONNE,Tonnes,3,Thousands,,,126.811,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2018,2018,TONNE,Tonnes,3,Thousands,,,118.957,,
FRA,France,SOX,Sulphur Oxides,STAT_TOT,Total Stationary Sources,2019,2019,TONNE,Tonnes,3,Thousands,,,96.729,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1990,1990,TONNE,Tonnes,3,Thousands,,,325.936,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1991,1991,TONNE,Tonnes,3,Thousands,,,330.774,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1992,1992,TONNE,Tonnes,3,Thousands,,,325.845,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1993,1993,TONNE,Tonnes,3,Thousands,,,223.369,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1994,1994,TONNE,Tonnes,3,Thousands,,,205.666,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1995,1995,TONNE,Tonnes,3,Thousands,,,215.363,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1996,1996,TONNE,Tonnes,3,Thousands,,,219.17,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1997,1997,TONNE,Tonnes,3,Thousands,,,172.608,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1998,1998,TONNE,Tonnes,3,Thousands,,,218.96,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,1999,1999,TONNE,Tonnes,3,Thousands,,,159.368,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2000,2000,TONNE,Tonnes,3,Thousands,,,143.464,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2001,2001,TONNE,Tonnes,3,Thousands,,,109.384,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2002,2002,TONNE,Tonnes,3,Thousands,,,105.961,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2003,2003,TONNE,Tonnes,3,Thousands,,,124.428,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2004,2004,TONNE,Tonnes,3,Thousands,,,109.384,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2005,2005,TONNE,Tonnes,3,Thousands,,,120.087,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2006,2006,TONNE,Tonnes,3,Thousands,,,98.481,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2007,2007,TONNE,Tonnes,3,Thousands,,,97.205,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2008,2008,TONNE,Tonnes,3,Thousands,,,80.004,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2009,2009,TONNE,Tonnes,3,Thousands,,,73.792,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2010,2010,TONNE,Tonnes,3,Thousands,,,65.472,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2011,2011,TONNE,Tonnes,3,Thousands,,,39.24,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2012,2012,TONNE,Tonnes,3,Thousands,,,59.979,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2013,2013,TONNE,Tonnes,3,Thousands,,,54.062,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2014,2014,TONNE,Tonnes,3,Thousands,,,24.042,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2015,2015,TONNE,Tonnes,3,Thousands,,,18.375,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2016,2016,TONNE,Tonnes,3,Thousands,,,7.765,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2017,2017,TONNE,Tonnes,3,Thousands,,,9.053,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2018,2018,TONNE,Tonnes,3,Thousands,,,5.991,,
FRA,France,SOX,Sulphur Oxides,STAT_POW,Power stations,2019,2019,TONNE,Tonnes,3,Thousands,,,4.201,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1990,1990,TONNE,Tonnes,3,Thousands,,,653.815,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1991,1991,TONNE,Tonnes,3,Thousands,,,751.435,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1992,1992,TONNE,Tonnes,3,Thousands,,,603.377,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1993,1993,TONNE,Tonnes,3,Thousands,,,553.745,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1994,1994,TONNE,Tonnes,3,Thousands,,,517.081,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1995,1995,TONNE,Tonnes,3,Thousands,,,488.201,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1996,1996,TONNE,Tonnes,3,Thousands,,,490.348,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1997,1997,TONNE,Tonnes,3,Thousands,,,445.648,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1998,1998,TONNE,Tonnes,3,Thousands,,,432.662,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,1999,1999,TONNE,Tonnes,3,Thousands,,,402.921,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2000,2000,TONNE,Tonnes,3,Thousands,,,327.012,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2001,2001,TONNE,Tonnes,3,Thousands,,,317.762,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2002,2002,TONNE,Tonnes,3,Thousands,,,280.906,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2003,2003,TONNE,Tonnes,3,Thousands,,,255.212,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2004,2004,TONNE,Tonnes,3,Thousands,,,244.137,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2005,2005,TONNE,Tonnes,3,Thousands,,,236.499,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2006,2006,TONNE,Tonnes,3,Thousands,,,231.032,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2007,2007,TONNE,Tonnes,3,Thousands,,,213.278,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2008,2008,TONNE,Tonnes,3,Thousands,,,183.671,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2009,2009,TONNE,Tonnes,3,Thousands,,,156.942,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2010,2010,TONNE,Tonnes,3,Thousands,,,146.102,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2011,2011,TONNE,Tonnes,3,Thousands,,,127.037,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2012,2012,TONNE,Tonnes,3,Thousands,,,119.864,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2013,2013,TONNE,Tonnes,3,Thousands,,,109.444,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2014,2014,TONNE,Tonnes,3,Thousands,,,99.68,,
FRA,France,SOX,Sulphur Oxides,STAT_COMB,Combustion,2015,2015,TONNE,Tonnes,3,Thousands,,,97.379,,
